Order ID,Customer Name,Order Date,Product Price $,Quantity!!,Total Amount,Ship Date,Status
ORD1000,,01-10-2023,264.3134984759545,7,1850.1944893316813,09-10-2023,
ORD1001,,2023-04-02,171.54224088174146,17,2916.2180949896047,,Shipped
ORD1002,Bob Johnson,05.12.2023,195.14190699425728,17,3317.4124189023737,2023-12-11,
ORD1003,Alice Williams,29.08.2023,70.21586678937072,10,702.1586678937072,09/07/2023,
ORD1004,John Smith,2023/01/09,318.7528395915485,8,2550.022716732388,,
ORD1005,Alice Williams,14-02-2023,90.523993705531,14,1267.335911877434,,Cancelled
ORD1006,Alice Williams,20.04.2023,432.0255346209029,2,864.0510692418057,21.04.2023,Cancelled
ORD1007,,11/24/2023,68.48485841399017,7,479.39400889793114,2023/11/29,
ORD1008,Jane Doe,03/22/2023,481.85449697522034,15,7227.817454628305,,
ORD1009,Alice Williams,25.07.2023,111.05535490816476,11,1221.6089039898125,03-08-2023,Shipped
ORD1010,,2023-12-20,450.5505402580308,12,5406.60648309637,2023-12-21,Delivered
ORD1011,,18.01.2023,184.7721629392876,9,1662.9494664535885,,
ORD1012,,12/15/2023,449.1952219819709,5,2245.9761099098546,2023-12-19,Cancelled
ORD1013,Alice Williams,2023/12/17,143.51886944374004,1,143.51886944374004,24.12.2023,Pending
ORD1014,Jane Doe,03/03/2023,455.9095906558814,3,1367.7287719676442,12-03-2023,
ORD1015,,06-05-2023,447.54745972727767,12,5370.569516727332,05/11/2023,Shipped
ORD1016,Jane Doe,01-06-2023,75.78604470774792,20,1515.7208941549584,02.06.2023,Cancelled
ORD1017,,10/27/2023,344.3079490193299,14,4820.311286270618,,Pending
ORD1018,Alice Williams,04/15/2023,88.44704686071921,10,884.4704686071921,2023-04-23,Shipped
ORD1019,,08.11.2023,87.84999279347002,14,1229.8998991085803,2023-11-11,Pending
ORD1020,Jane Doe,24.12.2023,220.2085324058566,12,2642.502388870279,2023-12-25,Pending
ORD1021,,2023-11-21,233.12954532591976,14,3263.813634562877,30.11.2023,
ORD1022,John Smith,12/02/2023,138.27573872316148,8,1106.2059097852919,12/08/2023,
ORD1023,Alice Williams,20.09.2023,40.56555764366416,1,40.56555764366416,2023/09/28,Shipped
ORD1024,,06/28/2023,356.5468559531895,19,6774.3902631106,06/29/2023,Delivered
ORD1025,Jane Doe,06-07-2023,130.63319650555837,13,1698.2315545722588,2023-07-08,Pending
ORD1026,,25.01.2023,9747.686811821015,,0.0,2023/02/03,Cancelled
ORD1027,Bob Johnson,30.08.2023,343.48935993078186,4,1373.9574397231274,2023-09-03,
ORD1028,Jane Doe,16.02.2023,246.63732399667143,14,3452.9225359534,02/19/2023,
ORD1029,Alice Williams,,6260.102666369037,6,37560.61599821423,2023/01/10,
ORD1030,Alice Williams,2023/09/23,169.48867726680984,6,1016.932063600859,2023-09-28,
ORD1031,John Smith,05/14/2023,325.5019368638347,20,6510.0387372766945,,
ORD1032,Bob Johnson,15-09-2023,499.04488974272516,15,7485.673346140878,2023-09-23,
ORD1033,,24.04.2023,36.526166624978515,10,365.26166624978515,01.05.2023,Pending
ORD1034,Bob Johnson,2023/10/23,79.3782534526499,3,238.1347603579497,02.11.2023,Cancelled
ORD1035,,2023/02/28,365.6685730578695,3,1097.0057191736084,03/02/2023,Pending
ORD1036,John Smith,2023/08/07,237.07774596583164,,0.0,2023/08/09,Shipped
ORD1037,Bob Johnson,2023/02/10,429.82156239958414,5,2149.1078119979206,2023/02/11,Shipped
ORD1038,Alice Williams,05/17/2023,435.49674449002197,10,4354.96744490022,05/23/2023,Pending
ORD1039,,2023-12-31,393.9500283469642,19,7485.05053859232,2024/01/09,
ORD1040,John Smith,27.09.2023,287.98665064096184,17,4895.773060896351,2023-10-01,
ORD1041,,2023-10-20,481.184738208348,8,3849.477905666784,10/29/2023,Cancelled
ORD1042,,2023/05/30,426.5996229457917,6,2559.59773767475,07-06-2023,
ORD1043,Bob Johnson,2023-06-11,8319.787548424598,17,141436.38832321815,12-06-2023,Delivered
ORD1044,John Smith,30.05.2023,434.5927728131151,12,5215.113273757382,2023/05/31,
ORD1045,,19-02-2023,434.58041892670036,17,7387.867121753906,2023/02/20,Delivered
ORD1046,,11-06-2023,360.09412102400637,2,720.1882420480127,,Pending
ORD1047,Bob Johnson,24-03-2023,327.34938646626944,5,1636.7469323313471,03/27/2023,
ORD1048,Jane Doe,24-08-2023,496.2602326630247,16,7940.163722608395,08/25/2023,Shipped
ORD1049,,27-11-2023,312.11973975909166,8,2496.9579180727333,02-12-2023,
ORD1050,,,71.28792683675846,,0.0,11/13/2023,Cancelled
ORD1051,Bob Johnson,2023-12-03,258.79052036328176,17,4399.43884617579,13.12.2023,Pending
ORD1052,,14.07.2023,206.77721844506834,14,2894.881058230957,22.07.2023,Pending
ORD1053,,2023-10-19,451.986081407315,,0.0,22.10.2023,Pending
ORD1054,John Smith,15-06-2023,159.35717245105903,1,159.35717245105903,24-06-2023,Cancelled
ORD1055,Jane Doe,2023/03/07,380.4794934200285,2,760.958986840057,03/10/2023,Delivered
